time,symbol,direction,outcome,loss_category,confidence,adr_util,asian_sweep,at_value,max_fav_ratio,duration_mins,hour
2025-12-18 16:15:00+00:00,NZDUSD=X,SELL,LOSS,Standard Stop,11.5,0.8850601526310528,True,False,0.5,5,16
2025-12-18 21:45:00+00:00,USDCAD=X,SELL,WIN,N/A,9.5,0.7490951140116744,False,False,1.11,15,21
2025-12-18 22:15:00+00:00,USDJPY=X,BUY,WIN,N/A,10.0,0.6975015166051156,False,False,1.01,45,22
2025-12-19 01:15:00+00:00,NZDUSD=X,SELL,WIN,N/A,10.0,0.3268219448376442,False,False,1.67,5,1
2025-12-19 20:00:00+00:00,GBPUSD=X,SELL,WIN,N/A,9.5,0.5061548699344398,True,False,1.24,15,20
2025-12-23 14:30:00+00:00,GC=F,BUY,LOSS,Standard Stop,10.0,0.9277872975137068,True,False,0.58,5,14
2025-12-23 14:30:00+00:00,^IXIC,BUY,WIN,N/A,10.0,0.45293337785479026,False,False,1.1,5,14
2025-12-23 15:00:00+00:00,GBPUSD=X,BUY,WIN,N/A,10.0,0.6895491409463044,False,False,1.45,5,15
2025-12-23 15:45:00+00:00,EURUSD=X,BUY,LOSS,Heartbreaker,10.0,0.7550144521327844,False,False,1.16,10,15
2025-12-24 13:30:00+00:00,NZDUSD=X,BUY,LOSS,Standard Stop,12.0,0.5158225941024838,True,False,0.68,70,13
2025-12-24 14:00:00+00:00,EURUSD=X,BUY,LOSS,Standard Stop,10.0,0.5962754974232006,True,False,0.44,10,14
2025-12-24 15:00:00+00:00,GBPUSD=X,BUY,WIN,N/A,9.0,0.5890490665394247,True,True,1.54,15,15
2025-12-25 08:00:00+00:00,USDJPY=X,SELL,WIN,N/A,10.0,0.5222647911549895,True,False,1.21,15,8
2025-12-26 05:15:00+00:00,AUDUSD=X,BUY,LOSS,Standard Stop,9.5,0.38490614062997136,False,False,0.15,5,5
2025-12-26 08:30:00+00:00,NZDUSD=X,BUY,LOSS,Instant Reversal,10.0,0.5624964806576946,True,False,0.0,5,8
2025-12-26 09:45:00+00:00,USDCAD=X,SELL,LOSS,Standard Stop,10.0,0.3823353277546067,True,False,0.63,15,9
2025-12-26 11:30:00+00:00,GC=F,BUY,LOSS,Standard Stop,10.0,0.36664485098133287,True,False,0.71,15,11
2025-12-26 17:15:00+00:00,GBPUSD=X,BUY,WIN,N/A,10.0,0.7119279057710294,False,False,1.11,5,17
2025-12-29 06:15:00+00:00,AUDUSD=X,BUY,WIN,N/A,10.0,0.43675751518966854,False,False,1.19,45,6
2025-12-30 02:00:00+00:00,NZDUSD=X,SELL,WIN,N/A,10.0,0.2398870496488844,False,False,1.02,10,2
2025-12-30 08:45:00+00:00,AUDUSD=X,BUY,LOSS,Heartbreaker,10.0,0.6853822215985538,False,False,0.96,5,8
2025-12-30 15:30:00+00:00,USDCAD=X,SELL,WIN,N/A,10.0,0.6196877499804765,True,False,1.42,20,15
2025-12-31 13:00:00+00:00,GBPUSD=X,SELL,LOSS,Standard Stop,10.0,0.7676070274192484,True,False,0.56,15,13
2026-01-01 22:00:00+00:00,GBPUSD=X,SELL,WIN,N/A,11.5,0.3757272563950194,True,False,4.59,5,22
2026-01-01 22:15:00+00:00,EURUSD=X,SELL,WIN,N/A,9.5,0.33804894810789443,True,False,1.02,10,22
2026-01-01 22:15:00+00:00,NZDUSD=X,SELL,WIN,N/A,11.5,0.6608157289830916,True,False,1.85,5,22
2026-01-02 10:00:00+00:00,NZDUSD=X,SELL,LOSS,Instant Reversal,10.0,0.6122805876285089,True,False,0.0,5,10
2026-01-02 13:15:00+00:00,GC=F,SELL,WIN,N/A,12.0,0.5715040444594208,True,False,2.7,5,13
2026-01-02 21:30:00+00:00,NZDUSD=X,SELL,LOSS,Standard Stop,11.5,0.7217442292215855,True,False,0.21,5,21
